"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"DISTRIBUCIONES GMC BOGOTA & CÍA. LTDA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"CIME ELECTRICOS";"DISTRIBUIDORES";"Other";"YENI OLARTE";"26/11/2024"
"DINACOL";"DISTRIBUIDORES";"Integrator";"MELISSA PEREZ";"21/08/2025"
"RTS SUMINISTROS INDUSTRIALES";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INSTRUMENTOS Y CONTROLES";"DISTRIBUIDORES";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SUMIMTEC SERVICES SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"FERRETERIA ANDRES MARTINEZ";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"EDUARDO MARQUEZ E HIJOS";"DISTRIBUIDORES";"Reseller";"LIZETH MARTINEZ";"19/02/2025"
"ELÉCTRICOS IVM ELECTRONICA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"20/08/2025"
"REXCOIN SAS";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SPRITALL COMPANY";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"INGEBASCULAS S.A.S";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SUPPLIE INDUSTRIALES S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"SOLUCIONES AUTOMÁTICAS";"DISTRIBUIDORES";"Customer";"YENI OLARTE";"26/11/2024"
"BRAUNKER INGENIERÍA";"DISTRIBUIDORES";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MEM";"DISTRIBUIDORES";"Reseller";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ACERAL S.A.S.";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"MELTECHS SAS";"DISTRIBUIDORES";"Customer";"YENI OLARTE";"27/11/2024"
"FENIX METAL S.A.S.";"DISTRIBUIDORES";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"BOHLER COLOMBIA";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"28/01/2025"
"CP INSTRUMENTS";"DISTRIBUIDORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"HIPERBÁSCULAS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"TODODIESEL";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"T&E CALDERAS Y ENERGÍA";"DISTRIBUIDORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"FORMAS ELECTRICAS";"DISTRIBUIDORES";"Other";"YENI OLARTE";"27/11/2024"
"GLOBE IMPORTS & EXPORTS";"DISTRIBUIDORES";"Reseller";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"TECNOMEDICIÓN SAS";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"DISGLOBAL";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"IMPORTECNICAL SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"IMPORTAREX SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"GRUPO ZAMBRANO";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"22/04/2024"
"RANDOM TECH S.A.S.";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"PROCESS SOLUTIONS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"FERRELAM";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"KOS & KIEL";"DISTRIBUIDORES";"Customer";"HERNAN ROLDAN";"26/08/2025"
"COMFERRETERA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"25/11/2024"
"MULTINVERSIONES ASSAI";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"MCM TRADING S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"5/04/2024"
"COMERCIALIZADORA E IMPORTADORA ELECTRICA INDUSTRIAL SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"XEMDAL S.A.S";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/05/2025"
"IMPORTAINDUSTRIAS SAS";"DISTRIBUIDORES";"Customer";"MELISSA PEREZ";"21/08/2025"
"Diseño Petromecanico";"DISTRIBUIDORES";"Integrator";"KAREN CARRILLO";"20/01/2025"
"CIVITEL";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"9/04/2024"
"AIMCOL SAS";"DISTRIBUIDORES";"Customer";"HERNAN ROLDAN";"8/04/2024"
"DURESPO";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"14/08/2025"
"MUNDO ELECTRICO INDUSTRIAL";"DISTRIBUIDORES";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"CARLOS CORREDOR";"DISTRIBUIDORES";"Investor";"LIZETH MARTINEZ";"11/04/2024"
"EL PALACIO ELECTRICO";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"CIMA LTDA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"BATERIAS WILLARD";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"COINELECTRIC";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"OMECOL SAS";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"5/04/2024"
"TECNACON";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"8/04/2024"
"CEINFER SAS";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"IMAGEN ELECTRICA LTDA";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"Tecnosuma";"DISTRIBUIDORES";"Customer";"JHOAN ORTIZ";"2/08/2024"
"Tuval Tech Ind. Ferreteria";"DISTRIBUIDORES";"Integrator";"KAREN CARRILLO";"16/12/2024"
"GRUPO SIMACOL";"DISTRIBUIDORES";"Customer";"Juan Garzón Linares";"31/01/2025"
"INDUSTRIAL CORTEZ SAS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"12/02/2025"
"SS INGENIERÍA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"12/02/2025"
"PROWINCH COLOMBIA";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"17/02/2025"
"ELECTRO INDUSTRIALES BACATA S.A.S.";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"17/02/2025"
"DIMACUT";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"12/08/2025"
"Cotizaciones WhatsApp Lizeth";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"24/02/2025"
"DICEMCOL";"DISTRIBUIDORES";"Customer";"JHOAN ORTIZ";"12/08/2025"
"FABRICATO";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"2/05/2025"
"DISTRIELECTRICOS JM";"DISTRIBUIDORES";"Integrator";"LIZETH MARTINEZ";"3/06/2025"
"CALDERAS JCT";"DISTRIBUIDORES";"Reseller";"KAREN CARRILLO";"16/06/2025"
"CICAFER SAS";"DISTRIBUIDORES";"Reseller";"KAREN CARRILLO";"16/06/2025"
"SILBEC TECHNOLOGY";"DISTRIBUIDORES";"Analyst";"LIZETH MARTINEZ";"25/07/2025"
"ENERGY SERVICE GROUP";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"25/07/2025"
"TOOL SUPPLY";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/07/2025"
"AUTOMATION ETERNAL";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/07/2025"
"INDUSTRIA ELECTRICA DE CONTROL Y SERVICIOS";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/07/2025"
"EURO TECH";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/07/2025"
"I.E GROUP";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"28/08/2025"
"INDUSTRIAS ELECTRICAS HELOIM";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"9/09/2025"
"ELECTRO CONTACTO Y TELCO";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"15/09/2025"
"SUMINISTRO, LABORATORIO Y SERVICIOS ELECTRÓNICOS DEL CASANARE";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"15/09/2025"
"SEIMS AUTOMATIZACIONES";"DISTRIBUIDORES";"Customer";"LIZETH MARTINEZ";"6/10/2025"
