"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"GRUPO SIEM INGENIERIA";"OEMS";"Customer";"LIZETH MARTINEZ";"25/08/2025"
"EYMAQ COLOMBIA";"OEMS";"Customer";"LIZETH MARTINEZ";"8/09/2025"
"EQUIPOS FARMACEUTICOS LER";"OEMS";"Customer";"Juan Garzón Linares";"14/09/2025"
"COLOMBIANA DE SERVICIOS E INGENIERIA";"OEMS";"Customer";"LIZETH MARTINEZ";"15/09/2025"
"SERVIDANIEL SAS";"OEMS";"Customer";"HERNAN ROLDAN";"16/09/2025"
"INGENIERÍA GUZMAN";"OEMS";"Customer";"LIZETH MARTINEZ";"6/10/2025"
"TINTAS Y MAQUINAS";"OEMS";"Prospect";"LIZETH MARTINEZ";"7/10/2025"
"COLOMBIA SOLUCIONES INTELIGENTES S.A.S";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"FRC INGENIERIA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"COMSA-INDRA S.A";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"E-BICO";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MASSA STORK";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"COMPUSMITH SOLUCIONES INTEGRALES S.A.S";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"PROFI SMED";"INGENIERIA";"Analyst";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"HMV INGENIEROS LTDA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"PROCTEK";"INGENIERIA";"Customer";"KAREN CARRILLO";"9/08/2024"
"SNAIRE";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"ByV INGENIEROS";"INGENIERIA";"Customer";"KAREN CARRILLO";"7/08/2024"
"INGENIN";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"SIMIM LTDA";"INGENIERIA";"Customer";"MELISSA PEREZ";"19/04/2024"
"FRECUENCIA Y VELOCIDAD S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"EDELECTRIKA S.A.S";"INGENIERIA";"Customer";"JHOAN ORTIZ";"2/08/2024"
"FOCUN TI S A S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"DISIN S.A";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"FIX AUTOMATION";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MACER ENGINEERING S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ELECTRO POWER GENERATION";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"NAIKOL ANDREY ESPITIA MURCIA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"STROTECH";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ANDRES BELLO";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SERVIMETERS S.A.S";"INGENIERIA";"Customer";"KAREN CARRILLO";"9/08/2024"
"IM TECNOLOGY PANAMA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"RICARDO OCHOA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"FABIAN ALZATE";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INTEGRAL S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"TECNINGENIERIA S.A.S";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"IMATIC INGENIERIA";"INGENIERIA";"Customer";"Juan Garzón Linares";"10/04/2024"
"INSTRU ELECTRONIC";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"AUTOMATIK";"INGENIERIA";"Integrator";"Juan Garzón Linares";"10/04/2024"
"PYT Ingenieria";"INGENIERIA";"Customer";"Juan Garzón Linares";"10/04/2024"
"MYND ENERGY S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"IELECTRIC S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"PALMER METROLOGIA E INSTRUMENTACION";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"4M INGENIERIA S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"NOVAC AUTOMATIZACION";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"DIMETRON S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ANDINA DE TRANSMISORES S.A.S";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AGUAS DE VIDA INGENIERIA";"INGENIERIA";"Customer";"KAREN CARRILLO";"20/01/2025"
"SINCRON";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"SOFSPLUS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"JYA ELECTRONICOS DE COLOMBIA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"JAIME CAMPOS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"BOBINADOS Y CONTROLES";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INGENIERIA Y MANTENIMIENTO";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"GSEC S.A.S";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"TST COMPANY SOLUCIONES DE INGENIERIA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"RC&ELECTRICIDAD Y COMUNICACIONES";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"AUTOMATIZACION S.A";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"MDS INGENIERIA";"INGENIERIA";"Customer";"KAREN CARRILLO";"6/08/2024"
"CAAD INSTRUMENTACION Y METROLOGIA";"INGENIERIA";"Customer";"HERNAN ROLDAN";"10/04/2024"
"DAYOZ";"INGENIERIA";"Customer";"HERNAN ROLDAN";"28/08/2025"
"Grupo proyección integral";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"BOMBAS INDUSTRIALES";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"CPVEN COLOMBIA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"GREEN SOLAR";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"ESIG INGENIEROS";"INGENIERIA";"Customer";"JHOAN ORTIZ";"10/04/2024"
"SEI INGENIERIA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"29/08/2024"
"DASI ELECTRONICOS SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"EBRO INGENIERIA Y TECHNOLOGIA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CARLOS SANCHEZ";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"REDES Y SERVICIOS AMBIENTALES SAS - HIDROREDES";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"V SHAPE ANDINA";"INGENIERIA";"Customer";"KAREN CARRILLO";"20/01/2025"
"RDM ingeniería";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"SIATET S.A.S.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"MODILAC";"INGENIERIA";"Customer";"Juan Garzón Linares";"11/04/2024"
"ORLANDO HARKER";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SRG INGENIERIA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"CIMELEC";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"PENTATRADE SAS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"WARP SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SYH VESGA SAS";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"LIKABEUS EIRL";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
